iter	Passed	Remaining
0	56	56767
1	57	28462
2	57	19064
3	57	14357
4	57	11527
5	58	9632
6	58	8288
7	58	7274
8	58	6491
9	59	5857
10	59	5343
11	59	4909
12	59	4545
13	60	4232
14	60	3968
15	60	3731
16	60	3523
17	61	3342
18	61	3173
19	61	3022
20	61	2886
21	62	2762
22	62	2647
23	62	2543
24	62	2448
25	63	2361
26	63	2278
27	63	2203
28	63	2137
29	64	2071
30	64	2009
31	64	1956
32	64	1902
33	65	1850
34	65	1802
35	65	1756
36	65	1712
37	66	1671
38	66	1632
39	66	1596
40	66	1561
41	66	1527
42	67	1495
43	67	1469
44	67	1440
45	68	1412
46	68	1385
47	68	1358
48	68	1334
49	69	1312
50	69	1290
51	69	1268
52	69	1247
53	70	1227
54	70	1207
55	70	1188
56	70	1170
57	71	1154
58	71	1138
59	71	1122
60	71	1106
61	72	1090
62	72	1076
63	72	1061
64	72	1047
65	73	1033
66	73	1019
67	73	1006
68	73	993
69	73	981
70	74	970
71	74	958
72	74	947
73	74	937
74	75	926
75	75	916
76	75	906
77	75	896
78	76	886
79	76	878
80	76	869
81	76	861
82	77	851
83	77	842
84	77	834
85	77	826
86	77	817
87	78	810
88	78	802
89	78	794
90	78	787
91	79	780
92	79	773
93	79	767
94	79	760
95	80	754
96	80	749
97	80	742
98	80	736
99	81	730
100	81	724
101	81	718
102	81	713
103	82	707
104	82	702
105	82	696
106	82	692
107	83	687
108	83	682
109	83	677
110	84	672
111	84	667
112	84	662
113	84	657
114	84	652
115	85	648
116	85	644
117	85	639
118	85	635
119	86	630
120	86	626
121	86	621
122	86	617
123	86	614
124	87	609
125	87	606
126	87	602
127	87	598
128	88	595
129	88	591
130	88	588
131	88	584
132	89	581
133	89	577
134	89	573
135	89	570
136	89	566
137	90	563
138	90	559
139	90	556
140	90	553
141	91	550
142	91	546
143	91	543
144	91	541
145	92	538
146	92	535
147	92	533
148	92	530
149	93	527
150	93	524
151	93	521
152	93	519
153	93	516
154	94	513
155	94	510
156	94	508
157	94	505
158	95	503
159	95	500
160	95	497
161	95	495
162	96	493
163	96	490
164	96	488
165	96	485
166	96	483
167	97	481
168	97	479
169	97	476
170	97	474
171	98	472
172	98	470
173	98	467
174	98	465
175	99	463
176	99	461
177	99	459
178	99	457
179	99	455
180	100	453
181	100	451
182	100	449
183	100	447
184	101	445
185	101	443
186	101	441
187	101	439
188	101	437
189	102	435
190	102	433
191	102	432
192	102	430
193	103	428
194	103	426
195	103	425
196	103	423
197	104	421
198	104	419
199	104	418
200	104	416
201	104	414
202	105	412
203	105	411
204	105	409
205	105	408
206	106	406
207	106	405
208	106	403
209	106	401
210	107	400
211	107	398
212	107	397
213	107	395
214	107	394
215	108	392
216	108	391
217	108	389
218	108	388
219	109	386
220	109	385
221	109	384
222	109	382
223	110	381
224	110	380
225	110	378
226	111	378
227	111	376
228	111	375
229	111	373
230	111	372
231	112	371
232	112	370
233	112	368
234	112	367
235	113	366
236	113	364
237	113	363
238	113	362
239	114	361
240	114	360
241	114	358
242	114	357
243	114	356
244	115	354
245	115	353
246	115	352
247	115	351
248	116	350
249	116	348
250	116	347
251	116	346
252	117	345
253	117	344
254	117	343
255	117	342
256	117	341
257	118	340
258	118	338
259	118	337
260	118	336
261	119	335
262	119	334
263	119	333
264	119	332
265	120	331
266	120	330
267	120	329
268	120	328
269	121	327
270	121	326
271	121	325
272	121	324
273	121	323
274	122	322
275	122	321
276	122	320
277	122	319
278	123	318
279	123	317
280	123	316
281	124	315
282	124	314
283	124	313
284	124	312
285	124	311
286	125	311
287	125	310
288	125	309
289	125	308
290	126	307
291	126	306
292	126	305
293	126	304
294	127	303
295	127	302
296	127	301
297	127	300
298	127	300
299	128	299
300	128	298
301	128	297
302	128	296
303	129	295
304	129	294
305	129	293
306	129	293
307	130	292
308	131	293
309	131	292
310	131	291
311	131	290
312	132	289
313	132	289
314	132	288
315	132	287
316	133	286
317	133	285
318	133	284
319	133	284
320	133	283
321	134	282
322	134	281
323	134	280
324	134	280
325	135	279
326	135	278
327	135	277
328	135	276
329	136	276
330	136	275
331	136	274
332	136	273
333	136	273
334	137	272
335	137	271
336	137	270
337	137	270
338	138	269
339	138	268
340	138	267
341	138	267
342	138	266
343	139	265
344	139	264
345	139	264
346	139	263
347	140	262
348	140	261
349	140	260
350	140	260
351	140	259
352	141	258
353	141	258
354	141	257
355	141	256
356	142	255
357	142	255
358	142	254
359	142	253
360	142	252
361	143	252
362	143	251
363	143	250
364	143	250
365	144	249
366	144	248
367	144	248
368	144	247
369	144	246
370	145	246
371	145	245
372	145	244
373	145	244
374	146	243
375	146	242
376	146	242
377	146	241
378	147	240
379	147	240
380	147	239
381	147	239
382	148	238
383	148	237
384	148	237
385	148	236
386	148	235
387	149	235
388	149	234
389	149	233
390	149	233
391	149	232
392	150	231
393	150	231
394	150	230
395	150	230
396	151	229
397	151	229
398	151	228
399	151	227
400	152	227
401	152	226
402	152	226
403	152	225
404	153	224
405	153	224
406	153	223
407	153	222
408	153	222
409	154	221
410	154	221
411	154	220
412	154	220
413	155	219
414	155	218
415	155	218
416	156	218
417	156	217
418	156	217
419	156	216
420	157	216
421	157	216
422	158	215
423	158	215
424	158	214
425	158	214
426	159	213
427	159	212
428	159	212
429	160	212
430	160	211
431	160	211
432	160	210
433	160	209
434	161	209
435	161	208
436	161	208
437	161	207
438	162	207
439	162	206
440	162	205
441	162	205
442	163	204
443	163	204
444	163	204
445	163	203
446	164	202
447	164	202
448	164	201
449	164	201
450	165	200
451	165	200
452	165	199
453	165	199
454	166	198
455	166	198
456	166	197
457	166	197
458	167	196
459	167	196
460	167	195
461	167	195
462	168	194
463	168	194
464	168	194
465	168	193
466	169	193
467	169	192
468	169	192
469	169	191
470	170	191
471	170	190
472	170	190
